Category,Count,Examples
US and International News,5,Russia; Russia; UN; UN; reuters
Log files and error reports,0,
"License, terms of use, copyright notices",4,copyright; license; license; license
"Lists of named items (games, countries, etc.)",0,
Forum or Wiki entry,2,wiki; wiki
Valid URLs,1,www.washingtonpost.com
Named individuals (non-news samples only),42,Anderson; Andrew; Carrie; Cheryl; Cheryl; Clinton; Clinton; Clinton; Clinton; Cooper; Cruz; Graham; Graham; Huma; Huma; Ill; Ill; Ill; John; John; John; Karen Purdy; Mark; Martin; McC; Miller; Miller; Ponce; Reagan; Regan; Reid; Roberts; Rogers; Schmid; Tony; Tony; Vladimir; hrc; john; marijuana; marijuana; n.p.
"Promotional content (products, subscriptions, etc.)",0,
"High entropy (UUIDs, base64 data)",0,
"Contact info (address, email, phone, twitter, etc.)",9,0000000; 0000000; 0000000; @enron; john.taylor@enron.com; k@yahoo.com; michael.hutchinson@enron.com; mike.dunn@enron.com
Code,0,
Configuration files,0,
Religious texts,0,
Pseudonyms,0,
Donald Trump tweets and quotes,0,
"Web forms (menu items, instructions, etc.)",0,
Tech News,0,
"Lists of numbers (dates, sequences, etc.)",44,"0 1; 0 2; 06 14; 06 16; 09 10; 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31; 10 0; 10 0; 10 01; 200,000; 2003 4; 2005 10; 2008 07; 201 4; 201 4; 201 4; 201 4; 201 4; 201 4; 201 4; 201 4; 2010 3; 2010 4; 2011 4; 2011 4; 2016 1; 2016 2; 28 1; 3 1; 3 1; 3 5; 3 5; 3,000; 30,000; 4,000; 40,000; 400,000; 53 0800; 60,000; 7,800,000; 96 11"
